"Category","Item-Description","Brand","MRP","Sale-Price","Savings","Weight","Net-Quantity","In-Stock","Link","Item-Info"
"Oil","Fortune Soyabean Oil, 1L Pouch","FORTUNE","INR 190.00","INR 159.00","INR 31.00 (16%)","1 kg","1000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Fortune-Soyabean-Oil-1L-Pouch/dp/B00TX50T4K/ref=sr_1_4?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1627509617&s=nowstore&sr=1-4"",""GoToLink"")","Total pages for Oil: 13
Page 1:  Total (24) & Unique (24)
Page 2:  Total (24) & Unique (24)
Page 3:  Total (10) & Unique (10)
Page 4:  Total (10) & Unique (10)
Page 5:  Total (1) & Unique (1)
Page 6:  Total (10) & Unique (10)
Page 7:  Total (10) & Unique (10)
Page 8:  Total (10) & Unique (10)
Page 9:  Total (10) & Unique (10)
Page 10:  Total (10) & Unique (10)
Page 11:  Total (10) & Unique (10)
Page 12:  Total (10) & Unique (10)
Page 13:  Total (10) & Unique (10)"
"Oil","Fortune Sunlite Refined Sunflower Oil, 1L","FORTUNE","INR 195.00","INR 156.00","INR 39.00 (20%)","1 kg","1000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Fortune-Sunlite-Refined-Sunflower-Oil/dp/B00NYZTGEO/ref=sr_1_3?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1627509617&s=nowstore&sr=1-3"",""GoToLink"")",""
"Oil","Freedom Refined Sunflower Oil, 1L","Freedom","INR 185.00","INR 148.00","INR 37.00 (20%)","910 g","1000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Freedom-Refined-Sunflower-Oil-1L/dp/B01BUZZ7H4/ref=sr_1_1?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1627509617&s=nowstore&sr=1-1"",""GoToLink"")",""
"Oil","Fortune Sunlite Refined Sunflower Oil, 5L Can","FORTUNE","INR 1,055.00","INR 790.00","INR 265.00 (25%)","5 kg","5000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Fortune-Sunlite-Refined-Sunflower-Oil/dp/B075757RF2/ref=sr_1_2?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1627509617&s=nowstore&sr=1-2"",""GoToLink"")",""
"Oil","Fortune Premium Kachi Ghani Pure Mustard Oil, 1tr PET Bottle","FORTUNE","INR 234.00","INR 188.00","INR 46.00 (20%)","1 kg","1000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B0757631XR/ref=sr_1_5?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1627509617&s=nowstore&sr=1-5"",""GoToLink"")",""
"Oil","Saffola Gold, Pro Healthy Lifestyle Cooking Oil, 1 L Pouch","Saffola","INR 220.00","INR 167.00","INR 53.00 (24%)","1 kg","1000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Saffola-Healthy-Lifestyle-Edible-Pouch/dp/B00L13WLFW/ref=sr_1_6?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1627509617&s=nowstore&sr=1-6"",""GoToLink"")",""
"Rice","Daawat Rozana Super, Naturally Aged, Rich Aroma,Perfect Fit for Everday Consumption Basmati Rice, 5 Kg","Daawat","INR 390.00","INR 300.00","INR 90.00 (23%)","5 kg","5000.0 gram","Yes","Link too long","Total pages for Rice: 13
Page 1:  Total (28) & Unique (25)
Page 2:  Total (24) & Unique (24)
Page 3:  Total (19) & Unique (19)
Page 4:  Total (7) & Unique (7)
Page 5:  Total (6) & Unique (6)
Page 6:  Total (5) & Unique (5)
Page 7:  Total (2) & Unique (2)
Page 8:  Total (4) & Unique (4)
Page 9:  Total (1) & Unique (1)
Page 10:  Total (7) & Unique (7)
Page 11:  Total (3) & Unique (3)
Page 12:  Total (4) & Unique (4)
Page 13:  Total (6) & Unique (6)"
"Rice","India Gate Basmati Rice, Dubar, 5kg","India Gate","INR 620.00","INR 567.00","INR 53.00 (9%)","5 kg 190 g","5000.0 gram","Yes","Link too long",""
"Rice","Daawat Rozana Gold Basmati Rice, 5kg","Daawat","INR 450.00","INR 339.00","INR 111.00 (25%)","5 kg","5000.0 gram","Yes","=HYPERLINK(""https://www.amazon.in/Daawat-Rozana-Gold-Basmati-Rice/dp/B00N2WFYB8/ref=sr_1_5?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Rice&qid=1627509751&s=nowstore&sr=1-5"",""GoToLink"")",""
"Rice","Daawat Rozana Super, Naturally Aged, Rich Aroma,Perfect Fit for Everday Consumption Basmati Rice, 5 Kg","Daawat","INR 390.00","INR 300.00","INR 90.00 (23%)","5 kg","5000.0 gram","Yes","=HYPERLINK(""https://www.amazon.in/Daawat-Rozana-Super-Basmati-Rice/dp/B075754F89/ref=sr_1_4?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Rice&qid=1627509751&s=nowstore&sr=1-4"",""GoToLink"")",""
