"Category","Item-Description","Brand","MRP","Sale-Price","Savings","Weight","Net-Quantity","In-Stock","Link"
"Rice","More Sona Masoori Raw Loose Rice (1 kg)","More","INR 54.00","INR 53.00","INR 1.00 (2%)","1 kg","1000 gram","Yes","=HYPERLINK(""https://www.amazon.in/More-Superior-Sona-masoori-loose/dp/B07MNDY56N/ref=sr_1_11?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Rice&qid=1626125641&s=nowstore&sr=1-11"",""GoToLink"")"
"Rice","More Bullet Wada Kolam Rice Loose, 1 Kg","More","N/A","INR 63.00","N/A","1 kg","1000 gram","Yes","=HYPERLINK(""https://www.amazon.in/More-Bullet-Kolam-Loose-500gm/dp/B07MNGVT48/ref=sr_1_6?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Rice&qid=1626125641&s=nowstore&sr=1-6"",""GoToLink"")"
"Rice","India Gate Basmati Rice Bag, Mogra, 5kg (Broken Rice)","India Gate","INR 305.00","INR 249.00","INR 56.00 (18%)","5 kg","5000.0 gram","Yes","=HYPERLINK(""https://www.amazon.in/India-Gate-Basmati-Rice-Mogra/dp/B075754F8F/ref=sr_1_4?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Rice&qid=1626125641&s=nowstore&sr=1-4"",""GoToLink"")"
"Rice","India Gate Basmati Rice Super, 1kg (with Free 500g)","India Gate","N/A","INR 190.00","N/A","1 kg","1500.0 gram","Yes","=HYPERLINK(""https://www.amazon.in/India-Gate-Basmati-Rice-Super/dp/B079GZVZS8/ref=sr_1_5?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Rice&qid=1626125641&s=nowstore&sr=1-5"",""GoToLink"")"
"Rice","Superior HMT Kolam Rice - Loose 1 Kg","More","N/A","INR 63.00","N/A","1 kg","1000 gram","Yes","=HYPERLINK(""https://www.amazon.in/More-Superior-Kolam-Loose-500gm/dp/B07MD5JGDG/ref=sr_1_8?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Rice&qid=1626125641&s=nowstore&sr=1-8"",""GoToLink"")"
"Oil","Fortune Rice Bran Health Oil, Cooking Oil for Healthier Heart, 1l Pouch","FORTUNE","INR 215.00","INR 166.00","INR 49.00 (23%)","1 kg","1000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Fortune-Rice-Bran-Health-1L/dp/B00NYZU698/ref=sr_1_5?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1626125843&s=nowstore&sr=1-5"",""GoToLink"")"
"Oil","Emami Healthy and Tasty Refined Rice Bran Oil Pouch, 1L","Emami Healthy and Tasty","INR 190.00","INR 158.00","INR 32.00 (17%)","1 kg","1000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Emami-Healthy-Tasty-Refined-Pouch/dp/B074N7X8XV/ref=sr_1_10?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1626125843&s=nowstore&sr=1-10"",""GoToLink"")"
"Oil","Saffola Gold, Pro Healthy Lifestyle Cooking Oil, 1 L Pouch","Saffola","INR 198.00","INR 185.00","INR 13.00 (7%)","1 kg","1000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Saffola-Healthy-Lifestyle-Edible-Pouch/dp/B00L13WLFW/ref=sr_1_6?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1626125843&s=nowstore&sr=1-6"",""GoToLink"")"
"Oil","Fortune Sunlite Refined Sunflower Oil, 1L","FORTUNE","INR 233.00","INR 154.00","INR 79.00 (34%)","1 kg","1000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Fortune-Sunlite-Refined-Sunflower-Oil/dp/B00NYZTGEO/ref=sr_1_1?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1626125843&s=nowstore&sr=1-1"",""GoToLink"")"
"Oil","Fortune Soyabean Oil, 1L Pouch","FORTUNE","INR 190.00","INR 159.00","INR 31.00 (16%)","1 kg","1000.0 millilitre","Yes","=HYPERLINK(""https://www.amazon.in/Fortune-Soyabean-Oil-1L-Pouch/dp/B00TX50T4K/ref=sr_1_2?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Oil&qid=1626125843&s=nowstore&sr=1-2"",""GoToLink"")"
